Key	English
emissionSpectrum	Emission Spectrum
emissionSpectrumNote	Strongest visible emission lines. Source: NIST Atomic Spectra Database.
solubilityChartIntro	See at a glance whether each ionic compound is soluble, slightly soluble or insoluble in water.
reactivitySeriesIntro	Compare how vigorously metals react - from the most reactive at the top to the least reactive at the bottom.
labelElectronAffinityMain	Electron Affinity
labelIonizationEnergiesMain	Ionization Energies
quiz	Quiz
quizIntro	Test yourself on the elements. A Pro feature.
quizNameToSymbol	What is the chemical symbol for {0}?
quizSymbolToName	Which element has the symbol {0}?
quizNumberToName	Which element has atomic number {0}?
quizNameToNumber	What is the atomic number of {0}?
quizCorrect	Correct!
quizWrong	Not quite.
quizNext	Next question
quizScore	Score
quizStreak	Streak
quizBest	best
quizProTitle	Quiz is a Pro feature
quizProText	Practice with unlimited questions, ad-free.
quizNoData	Quiz unavailable.
tools	Tools
molarMass	Molar Mass Calculator
molarIntro	Type a chemical formula to get its molar mass.
molarLabel	Enter a chemical formula
molarPlaceholder	e.g. Ca(OH)2, CuSO4·5H2O
molarUnit	g/mol
equationBalancer	Equation Balancer
balancerIntro	Type an unbalanced equation to balance it. A Pro feature.
balancerLabel	Enter an unbalanced equation
balancerPlaceholder	e.g. C3H8 + O2 -> CO2 + H2O
balancerProTitle	Equation balancer is a Pro feature
balancerProText	Balance any equation instantly, ad-free.
percentComposition	Percent Composition
percentIntro	Type a formula to get each element's percent by mass.
percentLabel	Enter a chemical formula
percentPlaceholder	e.g. C6H12O6
empiricalFormula	Empirical Formula
empiricalIntro	Enter element percentages to find the simplest formula. A Pro feature.
empiricalLabel	Enter element percentages or masses
empiricalPlaceholder	e.g. C 40, H 6.7, O 53.3
empiricalProTitle	Empirical formula is a Pro feature
empiricalProText	Find formulas from composition, ad-free.
empiricalApprox	Approximate - check your inputs.
dilution	Dilution Calculator
dilutionIntro	Fill any three of C₁V₁ = C₂V₂ to solve for the fourth.
dilutionNote	Leave one field blank. Keep concentration units the same, and volume units the same.
molarity	Molarity Calculator
molarityIntro	Enter a formula, then two of mass / volume / molarity to solve the third.
molarityFormula	Formula or molar mass (g/mol)
molarityFormulaPh	e.g. NaCl or 58.44
molarityMass	Mass (g)
molarityVolume	Volume (L)
molarityMolarity	Molarity (mol/L)
molarMass2	Molar mass
molarityNote	Then leave one of the three blank to solve for it.
idealGas	Ideal Gas Law Calculator
idealGasIntro	Fill any three of PV = nRT to solve for the fourth.
idealGasP	Pressure (atm)
idealGasV	Volume (L)
idealGasN	Moles (mol)
idealGasT	Temperature (K)
