Element	English	Norwegian Nynorsk
Hydrogen	From the Greek word <i>hydro</i> (water), and <i>genes</i> (forming)	Frå dei greske orda <i>hydro</i> (vatn) og <i>genes</i> (dannande)
Helium	From the Greek word <i>helios</i>, the sun	Frå det greske ordet <i>helios</i>, sola
Lithium	From the Greek word <i>lithos</i>, stone	Frå det greske ordet <i>lithos</i>, stein
Beryllium	From the Greek word <i>beryllos</i>, beryl	Frå det greske ordet <i>beryllos</i>, beryll
Boron	From the Arabic word <i>Buraq</i>, Persian <i>Burah</i>	Frå det arabiske ordet <i>Buraq</i>, persisk <i>Burah</i>
Carbon	From the Latin word <i>carbo</i>, charcoal	Frå det latinske ordet <i>carbo</i>, trekol
Nitrogen	From the Latin word <i>nitrum</i>, Greek <i>Nitron</i>, native soda; and <i>genes</i>, forming	Frå det latinske ordet <i>nitrum</i>, gresk <i>Nitron</i>, naturleg soda; og <i>genes</i>, dannande
Oxygen	From the Greek word <i>oxys</i>, acid, and <i>genes</i>, forming	Frå dei greske orda <i>oxys</i>, syre, og <i>genes</i>, dannande
Fluorine	From the Latin and French <i>fluere</i>, flow or flux	Frå latin og fransk <i>fluere</i>, flyta eller flod
Neon	From the Greek word <i>neos</i>, new	Frå det greske ordet <i>neos</i>, ny
Sodium	From the English word, <i>soda</i>; Medieval Latin, <i>sodanum</i>: a headache remedy	Frå det engelske ordet <i>soda</i>; mellomalderlatinsk <i>sodanum</i>: eit hovudpinemiiddel
Magnesium	From Magnesia, district in Thessaly	Frå Magnesia, eit distrikt i Tessalia
Aluminium	From the Latin word <i>alumen</i>, alum	Frå det latinske ordet <i>alumen</i>, alun
Silicon	From the Latin word <i>silex</i>, silicis, flint	Frå det latinske ordet <i>silex</i>, silicis, flint
Phosphorus	From the Greek <i>phosphoros</i>, light bearing; ancient name for the planet Venus when appearing before sunrise	Frå gresk <i>phosphoros</i>, lysberar; gammalt namn på planeten Venus når han viste seg før soloppgang
Sulfur	Known to the ancients; referred to in Genesis as brimstone	Kjend for dei gamle; omtala i 1. Mosebok som svovel
Chlorine	From the Greek word <i>chloro</i>, greenish yellow	Frå det greske ordet <i>chloro</i>, gulgrøn
Argon	From the Greek <i>argos</i>, inactive	Frå gresk <i>argos</i>, uvirksom
Potassium	From the English word, <i>potash</i> - pot ashes; Latin <i>kalium</i>, Arab <i>qali</i>, alkali	Frå det engelske ordet <i>potash</i> - poteoske; latin <i>kalium</i>, arabisk <i>qali</i>, alkali
Calcium	From the Latin word <i>calx</i>, lime	Frå det latinske ordet <i>calx</i>, kalk
Scandium	From the Latin word <i>Scandia</i>, Scandinavia	Frå det latinske ordet <i>Scandia</i>, Skandinavia
Titanium	From the Latin <i>titans</i>, the first sons of the Earth, Greek mythology	Frå latin <i>titans</i>, dei første sønene til Jorda, gresk mytologi
Vanadium	Named after Scandinavian goddess, Vanadis	Oppkalla etter den nordiske gudinne Vanadis
Chromium	From the Greek word <i>chroma</i>, color	Frå det greske ordet <i>chroma</i>, farge
Manganese	From the Latin word <i>magnes</i>, magnet, from magnetic properties of pyrolusite	Frå det latinske ordet <i>magnes</i>, magnet, etter dei magnetiske eigenskapane til pyrolysitt
Iron	From the Latin word <i>ferrum</i>	Frå det latinske ordet <i>ferrum</i>
Cobalt	From the German word <i>Kobald</i>, goblin or evil spirit; also from the Greek <i>cobalos</i>, mine	Frå det tyske ordet <i>Kobald</i>, nisse eller vond ånd; òg frå gresk <i>cobalos</i>, gruve
Nickel	From the German word <i>Nickel</i> (Satan), and from kupfernickel, Old Nick's copper	Frå det tyske ordet <i>Nickel</i> (Satan), og frå kupfernickel, gammel-Nicks koppar
